station_distance,total_price,area,next_use,city_planning,age,renovation_flg,number_of_floor,kitchen_level,service_room
2,3.8e+07,55,その他,商業地域,19,0,2,LDK,0
2,3.6e+07,50,その他,商業地域,19,0,1,LDK,0
8,4.7e+07,55,住宅,第１種住居地域,11,0,2,LDK,0
7,5.9e+07,70,住宅,第１種住居地域,13,0,2,LDK,0
8,3.1e+07,35,住宅,準工業地域,6,0,1,DK,0
5,4.7e+07,55,住宅,第２種住居地域,18,1,2,LDK,0
3,4.6e+07,50,住宅,第２種住居地域,4,0,2,LDK,0
6,7.5e+07,90,住宅,準工業地域,10,0,3,LDK,0
0,5.5e+07,60,その他,商業地域,8,0,2,LDK,0
6,6.3e+07,70,住宅,準工業地域,10,0,2,LDK,0
6,5.1e+07,55,住宅,準工業地域,10,0,1,LDK,0
10,4.6e+07,60,住宅,準工業地域,18,0,3,LDK,0
6,1.1e+08,105,住宅,準工業地域,10,0,3,LDK,0
0,5.5e+07,55,住宅,商業地域,8,0,2,LDK,0
8,4.4e+07,55,住宅,準工業地域,6,0,2,LDK,0
3,1.6e+07,20,その他,第２種住居地域,43,0,1,K,0
10,1.1e+07,30,その他,第１種住居地域,45,0,1,DK,0
8,5.8e+07,75,住宅,準工業地域,6,0,3,LDK,0
0,8.8e+07,85,住宅,商業地域,8,0,3,LDK,0
10,2.4e+07,30,住宅,第１種住居地域,45,1,1,DK,0
3,5.4e+07,65,住宅,第２種住居地域,17,1,3,LDK,0
6,8.2e+07,90,住宅,準工業地域,10,1,2,LDK,0
8,4.8e+07,60,住宅,第１種住居地域,11,0,3,LDK,0
6,8e+07,85,住宅,準工業地域,10,0,3,LDK,0
6,9.5e+07,105,住宅,準工業地域,10,0,3,LDK,0
2,4.4e+07,55,住宅,第２種住居地域,15,0,2,LDK,0
4,2.3e+07,20,住宅,第２種住居地域,10,0,1,K,0
0,6.1e+07,55,住宅,商業地域,8,1,1,LDK,0
3,3.4e+07,40,事務所,第２種住居地域,43,0,1,LDK,0
8,3.2e+07,40,住宅,準工業地域,6,0,1,LDK,0
6,5e+07,50,住宅,準工業地域,10,1,1,LDK,0
8,5.2e+07,65,住宅,第１種住居地域,11,1,3,LDK,0
6,1.4e+08,115,住宅,準工業地域,10,1,3,LDK,0
6,1.1e+08,90,住宅,準工業地域,10,0,2,LDK,0
6,1.5e+08,130,住宅,準工業地域,10,0,2,LDK,0
5,3.5e+07,40,住宅,第２種住居地域,9,0,1,LDK,0
2,2.9e+07,35,住宅,商業地域,4,1,1,LDK,0
9,4.8e+07,75,その他,準工業地域,18,0,3,LDK,0
8,5.1e+07,65,住宅,第１種住居地域,11,0,3,LDK,0
4,4.4e+07,60,住宅,第２種住居地域,15,0,2,LDK,0
8,5.1e+07,65,住宅,第１種住居地域,11,0,2,DK,0
3,5.6e+07,65,住宅,第２種住居地域,17,0,3,LDK,0
8,4.7e+07,55,住宅,準工業地域,6,0,2,LDK,0
2,4.9e+07,40,住宅,商業地域,3,1,1,K,0
6,7.3e+07,75,住宅,準工業地域,10,0,2,LDK,0
6,6.3e+07,75,住宅,準工業地域,10,0,2,LDK,0
1,4.4e+07,55,住宅,第２種住居地域,16,0,1,LDK,0
0,7300000,15,その他,商業地域,44,0,1,R,0
6,7.1e+07,75,住宅,準工業地域,10,0,2,LDK,0
3,4.7e+07,55,住宅,第２種住居地域,4,0,2,LDK,0
6,6.5e+07,75,住宅,準工業地域,10,0,2,LDK,0
3,2.2e+07,55,住宅,第２種住居地域,46,0,1,LDK,0
0,5.8e+07,55,住宅,商業地域,8,0,2,LDK,0
4,6.6e+07,75,住宅,準工業地域,10,0,2,LDK,0
4,7.5e+07,75,住宅,準工業地域,10,0,3,LDK,0
4,2.3e+07,20,住宅,第２種住居地域,7,0,1,K,0
3,5.4e+07,65,住宅,第２種住居地域,17,0,3,LDK,0
5,2.5e+07,20,住宅,第２種住居地域,16,1,1,K,0
8,4.8e+07,60,住宅,第１種住居地域,11,0,3,LDK,0
10,8.8e+07,135,住宅,準工業地域,18,0,4,LDK,0
2,5.3e+07,60,住宅,商業地域,4,0,2,LDK,0
2,3.5e+07,40,住宅,第２種住居地域,9,0,1,LDK,0
6,8.7e+07,100,住宅,準工業地域,10,0,3,LDK,0
4,2.7e+07,20,住宅,第２種住居地域,10,0,1,K,0
6,2.9e+07,20,その他,商業地域,14,0,1,K,0
6,2.4e+07,20,住宅,商業地域,14,0,1,K,0
2,2.4e+07,20,住宅,商業地域,15,0,1,K,0
3,3e+07,30,事務所,商業地域,37,0,1,K,0
2,7.6e+07,60,住宅,商業地域,6,1,2,DK,0
2,3.2e+07,20,住宅,商業地域,11,0,1,K,0
2,3.5e+07,20,住宅,商業地域,11,0,1,K,0
2,3.1e+07,20,住宅,商業地域,11,1,1,K,0
3,1.2e+08,85,住宅,商業地域,14,0,2,LDK,0
2,7.3e+07,60,住宅,商業地域,6,0,2,LDK,0
2,2.6e+07,20,住宅,商業地域,15,0,1,K,0
1,2.9e+07,25,住宅,商業地域,14,0,1,K,0
7,2.4e+07,20,住宅,商業地域,14,1,1,DK,0
2,4e+07,35,住宅,商業地域,14,0,1,DK,0
1,2.9e+07,25,住宅,商業地域,14,0,1,K,0
3,6.4e+07,55,住宅,商業地域,15,0,2,LDK,0
3,3.2e+07,25,住宅,商業地域,15,0,1,K,0
7,2.1e+07,20,住宅,商業地域,15,0,1,K,0
3,1.4e+08,50,住宅,商業地域,3,0,2,LDK,0
3,4.4e+07,40,住宅,商業地域,13,0,2,DK,0
3,4.6e+07,50,住宅,商業地域,13,0,2,LDK,0
7,1.7e+07,20,住宅,商業地域,14,0,1,K,0
3,6.2e+07,35,住宅,商業地域,3,0,1,LDK,0
3,1.2e+07,20,住宅,商業地域,41,1,1,K,0
8,2.4e+07,35,住宅,商業地域,40,1,1,K,0
4,1.1e+07,20,住宅,商業地域,19,0,1,K,0
5,2.4e+07,25,その他,商業地域,7,0,1,K,0
3,1.4e+07,20,住宅,商業地域,41,0,1,K,0
6,2.3e+07,20,住宅,商業地域,17,0,1,K,0
6,1.9e+07,20,その他,商業地域,19,0,1,K,0
7,1.5e+07,20,その他,商業地域,17,0,1,K,0
6,4.3e+07,55,住宅,商業地域,15,0,1,LDK,0
6,2.5e+07,25,住宅,商業地域,16,1,1,K,0
4,2.3e+07,20,住宅,商業地域,16,0,1,K,0
9,3.5e+07,40,住宅,商業地域,13,0,1,DK,0
6,2.4e+07,20,その他,商業地域,6,0,1,K,0
4,2e+07,20,住宅,商業地域,14,0,1,K,0
4,1.9e+07,15,住宅,商業地域,14,0,1,K,0
4,2e+07,20,住宅,商業地域,14,0,1,K,0
4,1.5e+07,20,住宅,商業地域,17,0,1,K,0
5,2.3e+07,20,住宅,商業地域,13,0,1,K,0
5,5.2e+07,60,住宅,商業地域,18,0,2,LDK,0
6,2.5e+07,25,住宅,商業地域,6,0,1,K,0
5,2.2e+07,20,住宅,商業地域,13,0,1,K,0
4,3.2e+07,30,その他,商業地域,14,0,1,K,0
4,1.6e+07,20,住宅,商業地域,17,0,1,K,0
5,3.2e+07,55,住宅,商業地域,37,0,1,LDK,0
3,2.9e+07,45,住宅,商業地域,39,1,1,LDK,0
3,4.7e+07,45,住宅,商業地域,5,0,1,LDK,0
2,3.8e+07,25,住宅,商業地域,2,0,1,K,0
2,5.6e+07,55,住宅,商業地域,7,0,3,LDK,0
0,5.4e+07,55,住宅,商業地域,16,0,2,LDK,0
2,1.3e+07,20,住宅,商業地域,38,1,1,K,0
3,2.8e+07,35,住宅,商業地域,39,1,2,DK,0
3,2e+07,30,その他,商業地域,39,1,1,DK,0
2,3.7e+07,25,住宅,商業地域,2,0,1,K,0
2,3.7e+07,25,住宅,商業地域,2,0,1,K,0
2,3.7e+07,25,住宅,商業地域,2,0,1,K,0
2,3.6e+07,25,住宅,商業地域,2,0,1,K,0
2,3.7e+07,25,住宅,商業地域,2,0,1,K,0
2,3.7e+07,25,住宅,商業地域,2,0,1,DK,0
2,5e+07,40,住宅,商業地域,2,0,1,LDK,0
2,3.7e+07,25,住宅,商業地域,2,0,1,K,0
6,8700000,15,住宅,商業地域,39,0,1,R,0
1,2e+07,15,住宅,商業地域,18,0,1,K,0
0,2.7e+07,20,住宅,商業地域,13,0,1,K,0
1,2.4e+07,20,住宅,商業地域,11,0,1,K,0
1,2e+07,15,住宅,商業地域,18,0,1,K,0
1,1.6e+07,30,事務所,商業地域,47,0,1,K,0
1,2.2e+07,20,その他,商業地域,11,1,1,K,0
1,3.9e+07,40,住宅,商業地域,14,0,1,DK,0
1,2.2e+07,20,住宅,商業地域,18,0,1,K,0
1,2.2e+07,20,その他,商業地域,16,1,1,K,0
5,4.8e+07,50,住宅,商業地域,5,0,2,LDK,0
4,5.8e+07,60,住宅,商業地域,14,1,2,LDK,0
7,1.4e+07,20,住宅,商業地域,36,0,1,K,0
4,1.8e+07,35,その他,商業地域,38,0,1,LDK,0
3,1.6e+07,20,住宅,商業地域,14,0,1,K,0
3,1.7e+07,20,住宅,商業地域,14,0,1,K,0
5,2.5e+07,40,住宅,商業地域,38,0,1,R,0
3,2.3e+07,20,住宅,商業地域,13,0,1,K,0
5,2.5e+07,20,住宅,商業地域,11,0,1,K,0
5,4.8e+07,60,住宅,商業地域,18,0,1,LDK,1
4,2.3e+07,20,住宅,商業地域,19,0,1,K,0
7,6.5e+07,65,住宅,商業地域,6,0,3,LDK,0
5,2e+07,15,その他,商業地域,16,1,1,K,0
1,6.6e+07,70,住宅,商業地域,13,1,2,LDK,0
5,3e+07,50,住宅,商業地域,18,0,1,LDK,0
2,2.1e+07,20,住宅,商業地域,20,0,1,K,0
3,3.2e+07,35,住宅,商業地域,46,1,1,DK,0
3,1.2e+07,20,住宅,商業地域,36,0,1,R,0
3,3.9e+07,40,住宅,商業地域,14,0,2,DK,0
3,3.9e+07,40,住宅,商業地域,14,0,1,DK,0
3,1.7e+07,20,事務所,商業地域,36,1,1,K,0
